Invalid_Sched_for_Table: 1,Invalid_Sched_for_Table: 2,Invalid_Sched_for_Table: 3,Invalid_Sched_for_Table: 4,Invalid_Sched_for_Table: 5,Invalid_Sched_for_Table: 6,Invalid_Sched_for_Table: 7,Invalid_Sched_for_Table: 8,Invalid_Sched_for_Table: 9,Invalid_Sched_for_Table: 10,Invalid_Sched_for_Table: 11,Invalid_Sched_for_Table: 12,Invalid_Sched_for_Table: 13,Invalid_Sched_for_Table: 14,Invalid_Sched_for_Table: 15,Invalid_Sched_for_Table: 16,Invalid_Sched_for_Table: 17,Invalid_Sched_for_Table: 18,Invalid_Sched_for_Table: 19,Invalid_Sched_for_Table: 20,Invalid_Sched_for_Table: 21,Invalid_Sched_for_Table: 22,Invalid_Sched_for_Table: 23,Invalid_Sched_for_Table: 24,Invalid_Sched_for_Table: 25,Invalid_Sched_for_Table: 26,Invalid_Sched_for_Table: 27,Invalid_Sched_for_Table: 28,Invalid_Sched_for_Table: 29,Invalid_Sched_for_Table: 30,Invalid_Sched_for_Table: 31,Invalid_Sched_for_Table: 32,Invalid_Sched_for_Table: 33,Invalid_Sched_for_Table: 34,Invalid_Sched_for_Table: 35,Invalid_Sched_for_Table: 36,Invalid_Sched_for_Table: 37,Invalid_Sched_for_Table: 38,Invalid_Sched_for_Table: 39,Invalid_Sched_for_Table: 40,Invalid_Sched_for_Table: 41,Invalid_Sched_for_Table: 42,Invalid_Sched_for_Table: 43,Invalid_Sched_for_Table: 44,Invalid_Sched_for_Table: 45,Invalid_Sched_for_Table: 46,Invalid_Sched_for_Table: 47,Invalid_Sched_for_Table: 48,Invalid_Sched_for_Table: 49,Invalid_Sched_for_Table: 50,Invalid_Sched_for_Table: 51,Invalid_Sched_for_Table: 52,Invalid_Sched_for_Table: 53,Invalid_Sched_for_Table: 54,Invalid_Sched_for_Table: 55,Invalid_Sched_for_Table: 56,Invalid_Sched_for_Table: 57,Invalid_Sched_for_Table: 58,Invalid_Sched_for_Table: 59,Invalid_Sched_for_Table: 60,Invalid_Sched_for_Table: 61,Invalid_Sched_for_Table: 62,Invalid_Sched_for_Table: 63,Invalid_Sched_for_Table: 64,Invalid_Sched_for_Table: 65,Invalid_Sched_for_Table: 66,Invalid_Sched_for_Table: 67,Invalid_Sched_for_Table: 68,Invalid_Sched_for_Table: 69,Invalid_Sched_for_Table: 70,Invalid_Sched_for_Table: 71,Invalid_Sched_for_Table: 72,Invalid_Sched_for_Table: 73,Invalid_Sched_for_Table: 74,Invalid_Sched_for_Table: 75,Invalid_Sched_for_Table: 76,Invalid_Sched_for_Table: 77,Invalid_Sched_for_Table: 78,Invalid_Sched_for_Table: 79,Invalid_Sched_for_Table: 80,Invalid_Sched_for_Table: 81,Invalid_Sched_for_Table: 82,Invalid_Sched_for_Table: 83,Invalid_Sched_for_Table: 84,Invalid_Sched_for_Table: 85,Invalid_Sched_for_Table: 86,Invalid_Sched_for_Table: 87,Invalid_Sched_for_Table: 88,Invalid_Sched_for_Table: 89,Invalid_Sched_for_Table: 90,Invalid_Sched_for_Table: 91,Invalid_Sched_for_Table: 92,Invalid_Sched_for_Table: 93,Invalid_Sched_for_Table: 94,Invalid_Sched_for_Table: 95,Invalid_Sched_for_Table: 96,Invalid_Sched_for_Table: 97,Invalid_Sched_for_Table: 98,Invalid_Sched_for_Table: 99,Invalid_Sched_for_Table: 100
,,,,,,,,,,,,,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,WED 145,,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,WED 745,,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,SAT 930,TUES 215,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,MON 800,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145,FRI 145
,,,,,,,,,,,,,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,WED 200,,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,WED 800,,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,SAT 945,TUES 230,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,MON 815,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200,FRI 200
,,,,,,,,,,,,,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,WED 215,,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,WED 815,,,,,,,,,,,,,,,,,,,,,,,,,TUES 245,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,MON 830,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215,FRI 215
,,,,,,,,,,,,,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,WED 230,,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,WED 830,,,,,,,,,,,,,,,,,,,,,,,,,TUES 300,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,MON 845,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230,FRI 230
,,,,,,,,,,,,,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,WED 245,,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,WED 845,,,,,,,,,,,,,,,,,,,,,,,,,TUES 315,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,MON 900,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245,FRI 245
,,,,,,,,,,,,,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,WED 300,,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,WED 900,,,,,,,,,,,,,,,,,,,,,,,,,TUES 330,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,MON 915,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300,FRI 300
,,,,,,,,,,,,,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,WED 315,,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,WED 915,,,,,,,,,,,,,,,,,,,,,,,,,TUES 345,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,MON 930,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315,FRI 315
,,,,,,,,,,,,,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,WED 330,,WED 930,WED 930,WED 930,WED 930,WED 930,WED 930,WED 930,WED 930,WED 930,WED 930,,,,,,,,,,,,,,,,,,,,,,,,,TUES 400,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,MON 945,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330,FRI 330
,,,,,,,,,,,,,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,WED 345,,WED 945,WED 945,WED 945,WED 945,WED 945,WED 945,WED 945,WED 945,WED 945,WED 945,,,,,,,,,,,,,,,,,,,,,,,,,TUES 415,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,TUES 1230,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345,FRI 345
,,,,,,,,,,,,,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,WED 400,,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,WED 1000,,,,,,,,,,,,,,,,,,,,,,,,,TUES 430,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,TUES 1245,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400,FRI 400
,,,,,,,,,,,,,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,WED 415,,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,WED 1015,,,,,,,,,,,,,,,,,,,,,,,,,TUES 445,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,TUES 100,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415,FRI 415
,,,,,,,,,,,,,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,WED 430,,WED 1030,WED 1030,WED 1030,WED 1030,WED 1030,WED 1030,WED 1030,WED 1030,WED 1030,WED 1030,,,,,,,,,,,,,,,,,,,,,,,,,TUES 500,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,TUES 115,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430,FRI 430
,,,,,,,,,,,,,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,WED 445,,WED 1045,WED 1045,WED 1045,WED 1045,WED 1045,WED 1045,WED 1045,WED 1045,WED 1045,WED 1045,,,,,,,,,,,,,,,,,,,,,,,,,TUES 515,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,TUES 130,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445,FRI 445
,,,,,,,,,,,,,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,WED 500,,WED 1100,WED 1100,WED 1100,WED 1100,WED 1100,WED 1100,WED 1100,WED 1100,WED 1100,WED 1100,,,,,,,,,,,,,,,,,,,,,,,,,TUES 530,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,TUES 145,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500,FRI 500
,,,,,,,,,,,,,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,WED 515,,WED 1115,WED 1115,WED 1115,WED 1115,WED 1115,WED 1115,WED 1115,WED 1115,WED 1115,WED 1115,,,,,,,,,,,,,,,,,,,,,,,,,TUES 545,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,TUES 200,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515,FRI 515
,,,,,,,,,,,,,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,WED 530,,WED 1130,WED 1130,WED 1130,WED 1130,WED 1130,WED 1130,WED 1130,WED 1130,WED 1130,WED 1130,,,,,,,,,,,,,,,,,,,,,,,,,TUES 600,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,TUES 215,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530,FRI 530
,,,,,,,,,,,,,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,WED 545,,WED 1145,WED 1145,WED 1145,WED 1145,WED 1145,WED 1145,WED 1145,WED 1145,WED 1145,WED 1145,,,,,,,,,,,,,,,,,,,,,,,,,TUES 630,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,TUES 230,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545,FRI 545
,,,,,,,,,,,,,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,WED 600,,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,WED 1200,,,,,,,,,,,,,,,,,,,,,,,,,TUES 645,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,TUES 245,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600,FRI 600
,,,,,,,,,,,,,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,THURS 600,,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,THURS 1200,,,,,,,,,,,,,,,,,,,,,,,,,TUES 745,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,TUES 300,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,THURS 615,,THURS 1215,THURS 1215,THURS 1215,THURS 1215,THURS 1215,THURS 1215,THURS 1215,THURS 1215,THURS 1215,THURS 1215,,,,,,,,,,,,,,,,,,,,,,,,,TUES 800,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,TUES 315,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,THURS 630,,THURS 1230,THURS 1230,THURS 1230,THURS 1230,THURS 1230,THURS 1230,THURS 1230,THURS 1230,THURS 1230,THURS 1230,,,,,,,,,,,,,,,,,,,,,,,,,WED 100,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,TUES 330,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,THURS 645,,THURS 1245,THURS 1245,THURS 1245,THURS 1245,THURS 1245,THURS 1245,THURS 1245,THURS 1245,THURS 1245,THURS 1245,,,,,,,,,,,,,,,,,,,,,,,,,WED 115,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,TUES 345,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,THURS 700,,THURS 100,THURS 100,THURS 100,THURS 100,THURS 100,THURS 100,THURS 100,THURS 100,THURS 100,THURS 100,,,,,,,,,,,,,,,,,,,,,,,,,WED 130,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,TUES 400,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,THURS 715,,THURS 115,THURS 115,THURS 115,THURS 115,THURS 115,THURS 115,THURS 115,THURS 115,THURS 115,THURS 115,,,,,,,,,,,,,,,,,,,,,,,,,WED 145,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,TUES 415,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,THURS 730,,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,THURS 130,,,,,,,,,,,,,,,,,,,,,,,,,WED 200,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,TUES 430,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,THURS 745,,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,THURS 145,,,,,,,,,,,,,,,,,,,,,,,,,WED 215,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,TUES 445,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,THURS 800,,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,THURS 200,,,,,,,,,,,,,,,,,,,,,,,,,WED 230,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,TUES 500,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,THURS 815,,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,THURS 215,,,,,,,,,,,,,,,,,,,,,,,,,WED 245,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,TUES 515,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,THURS 830,,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,THURS 230,,,,,,,,,,,,,,,,,,,,,,,,,WED 300,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,TUES 530,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,THURS 845,,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,THURS 245,,,,,,,,,,,,,,,,,,,,,,,,,WED 315,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,TUES 545,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,THURS 900,,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,THURS 300,,,,,,,,,,,,,,,,,,,,,,,,,WED 330,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,TUES 600,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,THURS 915,,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,THURS 315,,,,,,,,,,,,,,,,,,,,,,,,,WED 345,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,TUES 615,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,THURS 930,,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,THURS 330,,,,,,,,,,,,,,,,,,,,,,,,,WED 400,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,TUES 630,,,,,,,,,,,,,,,,,
